date,price,open,high,low,vol.,change %,vol,perc_chg
07-12-2021,"1,570.18","1,536.07","1,571.00","1,534.32",,2.36%,,
08-12-2021,"1,573.34","1,574.80","1,582.40","1,570.24",,0.20%,,
09-12-2021,"1,588.77","1,576.43","1,590.42","1,576.05",,0.98%,,
10-12-2021,"1,569.59","1,586.02","1,586.02","1,566.10",,-1.21%,,
13-12-2021,"1,563.58","1,569.68","1,592.83","1,563.11",,-0.38%,,
14-12-2021,"1,548.17","1,560.73","1,560.73","1,545.99",,-0.99%,,
15-12-2021,"1,537.30","1,544.31","1,550.71","1,534.32",,-0.70%,,
16-12-2021,"1,541.24","1,537.18","1,542.53","1,526.51",,0.26%,,
17-12-2021,"1,522.71","1,536.86","1,538.79","1,517.38",,-1.20%,,
20-12-2021,"1,493.75","1,520.64","1,520.64","1,490.23",,-1.90%,,
21-12-2021,"1,504.86","1,492.22","1,511.74","1,491.85",,0.74%,,
22-12-2021,"1,520.19","1,510.86","1,528.46","1,510.86",,1.02%,,
23-12-2021,"1,531.82","1,521.33","1,532.61","1,519.22",,0.77%,,
24-12-2021,"1,534.10","1,533.75","1,542.42","1,533.00",,0.15%,,
27-12-2021,"1,534.06","1,534.18","1,537.73","1,531.93",,0.00%,,
28-12-2021,"1,541.64","1,533.85","1,541.85","1,529.01",,0.49%,,
29-12-2021,"1,529.47","1,539.90","1,540.57","1,526.19",,-0.79%,,
30-12-2021,"1,525.23","1,528.73","1,536.94","1,522.71",,-0.28%,,
31-12-2021,"1,551.29","1,532.13","1,556.24","1,531.97",,1.71%,,
03-01-2022,"1,550.64","1,549.03","1,565.76","1,546.55",,-0.04%,,
04-01-2022,"1,562.38","1,550.88","1,567.45","1,549.75",,0.76%,,
05-01-2022,"1,530.94","1,558.16","1,559.16","1,528.52",,-2.01%,,
06-01-2022,"1,527.73","1,527.10","1,531.52","1,513.90",,-0.21%,,
07-01-2022,"1,544.92","1,529.60","1,545.61","1,529.60",,1.13%,,
