date,price,open,high,low,vol.,change %,vol,perc_chg
2024-10-11,"2,418.74","2,411.79","2,420.88","2,406.23",,0.39%,,
2024-10-14,"2,421.43","2,416.01","2,423.51","2,412.39",,0.11%,,
2024-10-15,"2,410.76","2,421.85","2,431.91","2,405.84",,-0.44%,,
2024-10-16,"2,393.53","2,407.50","2,407.64","2,389.11",,-0.71%,,
2024-10-17,"2,399.62","2,390.70","2,406.30","2,390.37",,0.25%,,
2024-10-18,"2,409.36","2,398.55","2,411.42","2,397.29",,0.41%,,
2024-10-21,"2,391.68","2,412.09","2,414.57","2,386.04",,-0.73%,,
2024-10-22,"2,372.99","2,386.95","2,386.95","2,366.42",,-0.78%,,
2024-10-23,"2,352.34","2,371.96","2,373.81","2,350.46",,-0.87%,,
2024-10-24,"2,360.20","2,352.85","2,371.63","2,346.79",,0.33%,,
2024-10-25,"2,361.47","2,363.90","2,365.33","2,354.80",,0.05%,,
2024-10-28,"2,368.95","2,353.02","2,372.84","2,350.51",,0.32%,,
2024-10-29,"2,360.55","2,368.08","2,379.91","2,358.32",,-0.35%,,
2024-10-30,"2,353.78","2,364.16","2,369.13","2,342.08",,-0.29%,,
2024-10-31,"2,332.94","2,351.24","2,353.08","2,324.71",,-0.89%,,
2024-11-01,"2,336.19","2,338.79","2,345.27","2,322.15",,0.14%,,
2024-11-04,"2,343.24","2,342.05","2,356.20","2,338.73",,0.30%,,
2024-11-05,"2,350.30","2,339.56","2,356.83","2,337.55",,0.30%,,
2024-11-06,"2,320.36","2,355.13","2,364.80","2,312.71",,-1.27%,,
2024-11-07,"2,354.11","2,318.73","2,359.90","2,316.90",,1.45%,,
2024-11-08,"2,336.75","2,353.07","2,356.04","2,326.87",,-0.74%,,
2024-11-11,"2,331.90","2,330.61","2,339.90","2,322.38",,-0.21%,,
2024-11-12,"2,293.20","2,332.66","2,339.28","2,288.40",,-1.66%,,
2024-11-13,"2,276.84","2,292.67","2,292.67","2,264.34",,-0.71%,,
2024-11-14,"2,286.26","2,272.13","2,288.41","2,266.04",,0.41%,,
2024-11-15,"2,275.34","2,278.80","2,288.65","2,273.26",,-0.48%,,
2024-11-18,"2,276.84","2,276.27","2,284.01","2,263.05",,0.07%,,
2024-11-19,"2,283.12","2,282.72","2,293.21","2,266.67",,0.28%,,
