date,price,open,high,low,change %,vol,perc_chg
2016-07-04,843.42,838.78,844.8,838.3,0.50%,,
2016-07-05,831.68,841.65,842.18,830.38,-1.39%,,
2016-07-06,819.19,830.63,830.63,817.24,-1.50%,,
2016-07-07,826.99,821.49,829.4,821.14,0.95%,,
2016-07-08,828.84,825.77,831.51,822.76,0.22%,,
2016-07-11,846.73,831.79,846.73,831.79,2.16%,,
2016-07-12,854.08,845.66,856.23,845.66,0.87%,,
2016-07-13,856.36,855.05,858.57,853.96,0.27%,,
2016-07-14,865.93,857.2,867.65,856.06,1.12%,,
2016-07-15,867.84,866.27,870.49,865.58,0.22%,,
2016-07-18,870.13,867.03,871.38,865.82,0.26%,,
2016-07-19,868.12,871.06,871.06,866.03,-0.23%,,
2016-07-20,870.76,867.76,870.76,865.36,0.30%,,
2016-07-21,871.17,869.59,872.4,869.28,0.05%,,
2016-07-22,869.3,870.58,870.58,867.26,-0.21%,,
2016-07-25,869.1,869.55,871.93,867.16,-0.02%,,
2016-07-26,870.72,868.07,873.11,866.6,0.19%,,
2016-07-27,874.05,871.32,876.15,871.11,0.38%,,
2016-07-28,875.52,875.97,877.02,873.62,0.17%,,
2016-07-29,873.47,875.67,876.78,869.63,-0.23%,,
2016-08-01,882.55,874.56,885.34,874.56,1.04%,,
2016-08-02,876.77,882.41,882.41,875.16,-0.65%,,
2016-08-03,868.18,875.77,875.77,865.38,-0.98%,,
2016-08-04,876.04,870.23,878.18,870.23,0.91%,,
2016-08-05,885.52,877.98,886.54,877.93,1.08%,,
2016-08-08,895.53,886.09,896.43,886.09,1.13%,,
2016-08-09,899.79,896.23,901.69,895.56,0.48%,,
2016-08-10,902.99,900.58,905.71,900.51,0.36%,,
2016-08-11,907.6,903.13,907.6,899.43,0.51%,,
2016-08-12,910.08,907.27,911.31,907.16,0.27%,,
2016-08-15,915.86,908.73,917.2,908.25,0.64%,,
2016-08-16,915.6,915.8,919.43,914.25,-0.03%,,
2016-08-17,909.67,914.31,914.67,905.78,-0.65%,,
2016-08-18,916.4,910.63,917.75,910.43,0.74%,,
2016-08-19,910.34,915.37,917.34,908.06,-0.66%,,
2016-08-22,904.22,910.04,910.08,903.43,-0.67%,,
2016-08-23,906.5,904.72,908.17,901.42,0.25%,,
2016-08-24,896.75,901.79,901.84,895.81,-1.08%,,
2016-08-25,898.1,896.53,899.97,895.99,0.15%,,
2016-08-26,901.39,898.48,905,894.85,0.37%,,
2016-08-29,895.97,895.91,897.6,893.17,-0.60%,,
2016-08-30,898.92,897.98,901.92,897.51,0.33%,,
2016-08-31,893.68,899.16,899.37,892.23,-0.58%,,
2016-09-01,891.08,893.1,893.23,889.03,-0.29%,,
2016-09-02,899.61,892.37,901.85,892.13,0.96%,,
2016-09-05,909.6,900.15,911.59,900.15,1.11%,,
2016-09-06,923.45,910.21,927.28,910.03,1.52%,,
2016-09-07,926.04,927.62,929.99,925.53,0.28%,,
2016-09-08,927.29,926.31,929.08,923.79,0.13%,,
2016-09-09,909.32,923.5,923.5,906.32,-1.94%,,
2016-09-12,889.41,903.34,903.34,884.07,-2.19%,,
2016-09-13,886.01,892.94,897.01,882.04,-0.38%,,
2016-09-14,885.14,883.27,886.76,882.06,-0.10%,,
