date,price,open,high,low,vol.,change %,vol,perc_chg
22-08-2019,445.2,449.2,449.81,444.63,,-0.82%,,
23-08-2019,445.51,445.06,447.25,443.45,,0.07%,,
26-08-2019,439.54,444.49,444.49,435.99,,-1.34%,,
27-08-2019,441.59,440.14,442.21,440.11,,0.47%,,
28-08-2019,441.61,441.72,443.44,440.81,,0.00%,,
29-08-2019,443.11,441.73,443.93,439.25,,0.34%,,
30-08-2019,448.25,443.97,448.6,443.97,,1.16%,,
02-09-2019,447.82,448.07,448.16,446.79,,-0.10%,,
03-09-2019,442.85,447.16,447.87,442.85,,-1.11%,,
04-09-2019,451.94,443.24,452.78,443.19,,2.05%,,
05-09-2019,456.8,452.79,456.96,452.6,,1.08%,,
06-09-2019,459.07,457.12,459.86,457.12,,0.50%,,
09-09-2019,460.73,459.51,461.2,459.34,,0.36%,,
10-09-2019,459.73,460.86,461.94,458.89,,-0.22%,,
11-09-2019,464.18,459.86,464.52,459.67,,0.97%,,
12-09-2019,465.77,464.93,467.42,464.44,,0.34%,,
13-09-2019,468.5,466.71,469.66,466.54,,0.59%,,
16-09-2019,466.98,469.32,469.43,465.88,,-0.32%,,
17-09-2019,463.1,466.91,466.91,462.31,,-0.83%,,
18-09-2019,464.33,463.77,464.65,463.43,,0.27%,,
19-09-2019,461.7,464.45,465.47,461.27,,-0.57%,,
20-09-2019,464.69,461.61,465.2,461.48,,0.65%,,
23-09-2019,461.74,464.11,464.67,461.63,,-0.63%,,
24-09-2019,460.43,461.85,462.52,460.17,,-0.28%,,
25-09-2019,457.15,460.39,460.39,455.63,,-0.71%,,
26-09-2019,458.3,457.31,458.97,457.19,,0.25%,,
27-09-2019,454.62,458.37,458.37,453.8,,-0.80%,,
30-09-2019,455.72,454.35,456.06,453.21,,0.24%,,
01-10-2019,455.41,455.7,457.18,454.62,,-0.07%,,
02-10-2019,452.43,455.02,455.02,451.56,,-0.65%,,
03-10-2019,453.37,452.3,453.78,450.24,,0.21%,,
04-10-2019,452.96,453.77,455.31,451.96,,-0.09%,,
07-10-2019,452.62,453.46,453.83,452.38,,-0.08%,,
08-10-2019,453.8,452.93,457.03,452.79,,0.26%,,
09-10-2019,452.48,453.13,453.13,450.69,,-0.29%,,
10-10-2019,453.03,452.44,454.14,450.89,,0.12%,,
11-10-2019,460.11,454.3,461.92,454.14,,1.56%,,
14-10-2019,464.25,461.56,465.86,461.49,,0.90%,,
15-10-2019,465.13,464.16,465.49,463.84,,0.19%,,
16-10-2019,467.77,465.9,468.09,465.25,,0.57%,,
17-10-2019,469.38,468.06,470.37,467.54,,0.34%,,
18-10-2019,466.8,470.01,471.21,466.8,,-0.55%,,
21-10-2019,468.81,467.13,469.16,466.76,,0.43%,,
22-10-2019,469.93,469.17,471.4,469.17,,0.24%,,
23-10-2019,467.88,470.01,470.01,466.47,,-0.44%,,
24-10-2019,470.85,468.49,470.85,468.08,,0.63%,,
25-10-2019,470.58,470.95,471.11,469.45,,-0.06%,,
28-10-2019,474.21,471.08,474.63,471.02,,0.77%,,
29-10-2019,475.1,474.58,476.22,474.35,,0.19%,,
30-10-2019,474.56,474.98,474.98,472.99,,-0.11%,,
31-10-2019,476.46,475.1,478.42,475.1,,0.40%,,
01-11-2019,479.25,475.92,480.12,475.42,,0.59%,,
04-11-2019,487.22,479.49,487.27,479.49,,1.66%,,
05-11-2019,490.74,487.08,490.98,486.92,,0.72%,,
06-11-2019,490.48,490.69,491.0,489.38,,-0.05%,,
07-11-2019,492.63,489.95,493.36,488.09,,0.44%,,
08-11-2019,489.7,493.26,493.6,489.16,,-0.59%,,
11-11-2019,481.93,489.44,489.51,480.96,,-1.59%,,
12-11-2019,485.26,482.02,485.26,481.76,,0.69%,,
