Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
16-Jul-19,Equity,3622.93,3805.79,-182.86,-26.66,Rs.68.5836,
17-Jul-19,Equity,3711.86,4076.19,-364.33,-53.13,Rs.68.5672,
18-Jul-19,Equity,3852.69,3869.68,-16.99,-2.47,Rs.68.8051,
19-Jul-19,Equity,4115.6,5507.09,-1391.49,-202.03,Rs.68.8758,
22-Jul-19,Equity,4799.33,5891.27,-1091.94,-158.65,Rs.68.8249,
23-Jul-19,Equity,3379.91,5310.89,-1930.98,-279.77,Rs.69.0199,
24-Jul-19,Equity,4262.16,6936.57,-2674.41,-387.64,Rs.68.9922,
25-Jul-19,Equity,4178.52,5640.96,-1462.44,-211.91,Rs.69.0135,
26-Jul-19,Equity,6950.42,6135.53,814.89,118.12,Rs.68.9904,
29-Jul-19,Equity,3581.75,4999.34,-1417.59,-205.27,Rs.69.0611,
30-Jul-19,Equity,3565.97,3894.38,-328.41,-47.66,Rs.68.9023,
31-Jul-19,Equity,4541.5,5199.72,-658.22,-95.74,Rs.68.7500,
01-Aug-19,Equity,5886.28,7262.63,-1376.35,-199.89,Rs.68.8569,
02-Aug-19,Equity,5264.51,6273.58,-1009.07,-146.12,Rs.69.0580,
05-Aug-19,Equity,4801.46,7667.67,-2866.21,-413.01,Rs.69.3981,
06-Aug-19,Equity,4736.41,6854.78,-2118.37,-301.08,Rs.70.3584,
07-Aug-19,Equity,5145.7,7186.58,-2040.88,-288.58,Rs.70.7226,
08-Aug-19,Equity,5338.11,5560.81,-222.7,-31.39,Rs.70.9553,
09-Aug-19,Equity,5423.87,5926.99,-503.12,-71.01,Rs.70.8497,
13-Aug-19,Equity,4756.02,4449.95,306.07,43.4,Rs.70.5185,
14-Aug-19,Equity,5739.37,6279.85,-540.48,-75.87,Rs.71.2365,
16-Aug-19,Equity,6880.42,5228.49,1651.93,232.35,Rs.71.0968,
19-Aug-19,Equity,5790.5,7132.91,-1342.41,-188.31,Rs.71.2872,
20-Aug-19,Equity,3159.58,3458.97,-299.39,-41.97,Rs.71.3419,
21-Aug-19,Equity,5380.42,5124.01,256.41,35.78,Rs.71.6483,
22-Aug-19,Equity,3926.11,4628.15,-702.04,-98.12,Rs.71.5508,
23-Aug-19,Equity,4983.26,6255.19,-1271.93,-177.39,Rs.71.7033,
26-Aug-19,Equity,4342.2,5999.51,-1657.31,-231.06,Rs.71.7267,
27-Aug-19,Equity,4159.67,4829.38,-669.71,-92.78,Rs.72.1814,
28-Aug-19,Equity,13351.73,14393.03,-1041.3,-144.99,Rs.71.8206,
29-Aug-19,Equity,3384.58,4465.92,-1081.34,-150.81,Rs.71.7041,
30-Aug-19,Equity,4420.11,4983.47,-563.36,-78.25,Rs.71.9971,
03-Sep-19,Equity,7522.81,6710.66,812.15,113.18,Rs.71.7586,
04-Sep-19,Equity,3202.94,5630.5,-2427.56,-336.28,Rs.72.1899,
05-Sep-19,Equity,4198.41,5401.73,-1203.32,-166.97,Rs.72.0700,
06-Sep-19,Equity,3703.37,4118.93,-415.56,-57.83,Rs.71.8611,
09-Sep-19,Equity,3219.55,4139.79,-920.24,-128.29,Rs.71.7323,
11-Sep-19,Equity,2861.17,2962.06,-100.89,-14.09,Rs.71.5886,
12-Sep-19,Equity,5591.17,4974.01,617.16,86.12,Rs.71.6637,
13-Sep-19,Equity,5964.3,3688.01,2276.29,319.18,Rs.71.3175,
16-Sep-19,Equity,3061.87,3445.64,-383.77,-54.1,Rs.70.9387,
17-Sep-19,Equity,4015.63,4489.87,-474.24,-66.3,Rs.71.5362,
18-Sep-19,Equity,4406.99,4958.73,-551.74,-76.82,Rs.71.8196,
19-Sep-19,Equity,2838.92,3771.83,-932.91,-130.82,Rs.71.3132,
20-Sep-19,Equity,2521.37,3268.08,-746.71,-104.97,Rs.71.1382,
23-Sep-19,Equity,17191.73,16599.09,592.64,83.54,Rs.70.9370,
24-Sep-19,Equity,10932.5,8075.99,2856.51,402.77,Rs.70.9212,
25-Sep-19,Equity,5337.89,6022.79,-684.9,-96.67,Rs.70.8477,
26-Sep-19,Equity,7209.67,7441.4,-231.73,-32.62,Rs.71.0395,
27-Sep-19,Equity,9760.08,6596.18,3163.9,446.24,Rs.70.9021,
30-Sep-19,Equity,4162.5,4228.6,-66.1,-9.34,Rs.70.8381,
01-Oct-19,Equity,5998.29,6296.72,-298.43,-42.22,Rs.70.6850,
03-Oct-19,Equity,5450.29,6971.6,-1521.31,-214.54,Rs.70.9109,
04-Oct-19,Equity,4649.3,5638.45,-989.15,-139.09,Rs.71.1163,
07-Oct-19,Equity,4830.04,5674.6,-844.56,-119.17,Rs.70.8703,
09-Oct-19,Equity,3087.48,3453.82,-366.34,-51.62,Rs.70.9763,
10-Oct-19,Equity,5037.5,5720.49,-682.99,-96.04,Rs.71.1121,
11-Oct-19,Equity,4757.7,4890.43,-132.73,-18.68,Rs.71.0516,
14-Oct-19,Equity,4293.09,4891.47,-598.38,-84.24,Rs.71.0272,
15-Oct-19,Equity,5404.21,3917.99,1486.22,209.27,Rs.71.0188,
16-Oct-19,Equity,7729.19,5546.81,2182.38,306.0,Rs.71.3186,
17-Oct-19,Equity,5779.02,4873.92,905.1,126.58,Rs.71.5051,
18-Oct-19,Equity,5755.67,4484.03,1271.64,178.08,Rs.71.4087,
22-Oct-19,Equity,5458.22,5192.3,265.92,37.35,Rs.71.1988,
23-Oct-19,Equity,7587.99,8296.68,-708.69,-99.99,Rs.70.8731,
24-Oct-19,Equity,5327.09,5289.31,37.78,5.33,Rs.70.9373,
25-Oct-19,Equity,5811.69,5626.96,184.73,26.04,Rs.70.9338,
29-Oct-19,Equity,5389.5,5789.52,-400.02,-56.37,Rs.70.9593,
30-Oct-19,Equity,8084.18,6566.38,1517.8,214.59,Rs.70.7303,
31-Oct-19,Equity,12604.42,5142.7,7461.72,1051.08,Rs.70.9915,
01-Nov-19,Equity,9158.84,7120.31,2038.53,287.89,Rs.70.8095,
04-Nov-19,Equity,7887.62,6002.76,1884.86,265.92,Rs.70.8798,
05-Nov-19,Equity,5546.64,5135.96,410.68,58.1,Rs.70.6821,
06-Nov-19,Equity,5439.98,5047.17,392.81,55.54,Rs.70.7283,
07-Nov-19,Equity,6071.98,4808.27,1263.71,178.27,Rs.70.8861,
08-Nov-19,Equity,6344.71,5365.47,979.24,137.91,Rs.71.0079,
11-Nov-19,Equity,4729.2,5239.48,-510.28,-71.62,Rs.71.2494,
13-Nov-19,Equity,4891.17,3308.36,1582.81,221.54,Rs.71.4450,
14-Nov-19,Equity,7987.62,6308.81,1678.81,234.14,Rs.71.7002,
15-Nov-19,Equity,5028.86,5431.42,-402.56,-55.88,Rs.72.0501,
18-Nov-19,Equity,5117.52,6097.64,-980.12,-136.68,Rs.71.7109,
19-Nov-19,Equity,4371.79,4885.55,-513.76,-71.64,Rs.71.7131,
20-Nov-19,Equity,7847.25,8474.48,-627.23,-87.34,Rs.71.8138,
21-Nov-19,Equity,5773.99,5364.73,409.26,57.1,Rs.71.6756,
22-Nov-19,Equity,10309.96,5303.86,5006.1,697.23,Rs.71.7996,
25-Nov-19,Equity,5336.39,4758.36,578.03,80.45,Rs.71.8514,
26-Nov-19,Equity,5180.3,4201.09,979.21,136.67,Rs.71.6468,
27-Nov-19,Equity,39364.23,34848.39,4515.84,630.78,Rs.71.5909,
28-Nov-19,Equity,3475.0,4467.77,-992.77,-139.11,Rs.71.3627,
29-Nov-19,Equity,5966.66,4297.51,1669.15,233.4,Rs.71.5147,
02-Dec-19,Equity,5929.62,6680.65,-751.03,-104.71,Rs.71.7255,
03-Dec-19,Equity,7592.58,8739.41,-1146.83,-159.9,Rs.71.7217,
04-Dec-19,Equity,4616.03,4723.56,-107.53,-15.02,Rs.71.6006,
05-Dec-19,Equity,5375.35,5506.21,-130.86,-18.23,Rs.71.7800,
06-Dec-19,Equity,4598.46,4165.47,432.99,60.52,Rs.71.5476,
09-Dec-19,Equity,3762.68,4589.3,-826.62,-115.91,Rs.71.3165,
10-Dec-19,Equity,4445.23,3715.34,729.89,102.57,Rs.71.1620,
11-Dec-19,Equity,4099.27,4478.75,-379.48,-53.53,Rs.70.8962,
12-Dec-19,Equity,4941.73,4557.64,384.09,54.2,Rs.70.8679,
13-Dec-19,Equity,4587.82,5202.69,-614.87,-86.91,Rs.70.7494,
16-Dec-19,Equity,4684.07,4456.97,227.1,32.11,Rs.70.7178,
17-Dec-19,Equity,5305.03,4597.75,707.28,99.7,Rs.70.9410,
18-Dec-19,Equity,7866.19,6612.08,1254.11,176.71,Rs.70.9687,
19-Dec-19,Equity,7569.08,5533.53,2035.55,286.45,Rs.71.0611,
20-Dec-19,Equity,5401.92,4565.49,836.43,117.67,Rs.71.0813,
23-Dec-19,Equity,9630.86,9160.2,470.66,66.14,Rs.71.1569,
24-Dec-19,Equity,4861.79,3182.73,1679.06,235.92,Rs.71.1699,
26-Dec-19,Equity,1954.68,1959.03,-4.35,-0.61,Rs.71.1959,
27-Dec-19,Equity,2830.39,2699.09,131.3,18.42,Rs.71.2699,
30-Dec-19,Equity,3659.89,2914.1,745.79,104.71,Rs.71.2214,
31-Dec-19,Equity,3846.01,3571.04,274.97,38.54,Rs.71.3449,
01-Jan-20,Equity,1492.9,3447.94,-1955.04,-274.3,Rs.71.2740,
02-Jan-20,Equity,713.17,362.26,350.91,49.17,Rs.71.3717,
03-Jan-20,Equity,3066.46,1974.02,1092.44,153.13,Rs.71.3429,
06-Jan-20,Equity,4534.91,3233.07,1301.84,181.58,Rs.71.6949,
07-Jan-20,Equity,3674.77,3689.22,-14.45,-2.0,Rs.72.0919,
08-Jan-20,Equity,3881.46,4475.19,-593.73,-82.72,Rs.71.7764,
09-Jan-20,Equity,3974.18,4311.54,-337.36,-46.84,Rs.72.0178,
10-Jan-20,Equity,4834.12,5125.7,-291.58,-40.82,Rs.71.4221,
13-Jan-20,Equity,4802.05,4143.31,658.74,92.63,Rs.71.1136,
14-Jan-20,Equity,4880.01,4759.81,120.2,16.97,Rs.70.8115,
15-Jan-20,Equity,4694.4,5018.43,-324.03,-45.69,Rs.70.9242,
16-Jan-20,Equity,5657.47,5576.5,80.97,11.42,Rs.70.8753,
17-Jan-20,Equity,4730.81,4778.31,-47.5,-6.7,Rs.70.9065,
20-Jan-20,Equity,4294.15,5718.65,-1424.5,-200.51,Rs.71.0436,
21-Jan-20,Equity,5926.44,4589.94,1336.5,188.09,Rs.71.0570,
22-Jan-20,Equity,7277.78,5560.62,1717.16,241.23,Rs.71.1825,
23-Jan-20,Equity,5336.69,5274.83,61.86,8.69,Rs.71.2056,
24-Jan-20,Equity,8035.97,6533.62,1502.35,210.87,Rs.71.2437,
27-Jan-20,Equity,4749.6,4148.91,600.69,84.32,Rs.71.2404,
28-Jan-20,Equity,3067.84,3231.96,-164.12,-22.99,Rs.71.3948,
29-Jan-20,Equity,4964.79,5750.13,-785.34,-110.11,Rs.71.3263,
30-Jan-20,Equity,4985.49,5943.93,-958.44,-134.64,Rs.71.1875,
31-Jan-20,Equity,5868.08,5772.47,95.61,13.38,Rs.71.4772,
03-Feb-20,Equity,7196.24,11857.41,-4661.17,-651.82,Rs.71.5096,
04-Feb-20,Equity,9070.44,7356.91,1713.53,239.39,Rs.71.5803,
05-Feb-20,Equity,7673.38,7069.13,604.25,84.94,Rs.71.1350,
06-Feb-20,Equity,7158.4,6626.64,531.76,74.62,Rs.71.2664,
07-Feb-20,Equity,6361.18,6777.59,-416.41,-58.44,Rs.71.2558,
10-Feb-20,Equity,5354.14,5078.53,275.61,38.68,Rs.71.2476,
11-Feb-20,Equity,4611.73,4750.78,-139.05,-19.5,Rs.71.3046,
12-Feb-20,Equity,4695.3,4811.44,-116.14,-16.3,Rs.71.2291,
13-Feb-20,Equity,4949.58,4980.21,-30.63,-4.3,Rs.71.2580,
14-Feb-20,Equity,5427.17,4366.23,1060.94,148.44,Rs.71.4699,
17-Feb-20,Equity,3052.09,4621.6,-1569.51,-219.86,Rs.71.3865,
18-Feb-20,Equity,4125.75,3597.8,527.95,73.91,Rs.71.4259,
20-Feb-20,Equity,11721.21,9906.26,1814.95,254.19,Rs.71.4013,
24-Feb-20,Equity,7345.94,5871.69,1474.25,205.93,Rs.71.5899,
25-Feb-20,Equity,5997.65,6998.91,-1001.26,-139.35,Rs.71.8522,
26-Feb-20,Equity,5721.73,7535.42,-1813.69,-252.39,Rs.71.8598,
27-Feb-20,Equity,5824.71,8842.9,-3018.19,-420.78,Rs.71.7291,
28-Feb-20,Equity,6276.36,9341.16,-3064.8,-427.97,Rs.71.6124,
02-Mar-20,Equity,12531.64,15846.93,-3315.29,-459.25,Rs.72.1895,
03-Mar-20,Equity,9272.33,9564.53,-292.2,-40.45,Rs.72.2420,
04-Mar-20,Equity,5694.86,8010.61,-2315.75,-317.78,Rs.72.8733,
05-Mar-20,Equity,8167.25,8948.6,-781.35,-106.22,Rs.73.5603,
06-Mar-20,Equity,6056.38,8296.83,-2240.45,-305.73,Rs.73.2824,
09-Mar-20,Equity,6760.86,10208.41,-3447.55,-468.01,Rs.73.6629,
11-Mar-20,Equity,6044.75,12734.86,-6690.11,-904.64,Rs.73.9538,
12-Mar-20,Equity,9688.71,13163.42,-3474.71,-470.74,Rs.73.8128,
13-Mar-20,Equity,9229.59,12218.38,-2988.79,-402.97,Rs.74.1694,
16-Mar-20,Equity,8129.11,14096.75,-5967.64,-805.68,Rs.74.0694,
17-Mar-20,Equity,6947.49,10835.28,-3887.79,-523.45,Rs.74.2723,
18-Mar-20,Equity,7047.8,10677.94,-3630.14,-490.35,Rs.74.0309,
19-Mar-20,Equity,6549.95,11520.5,-4970.55,-670.13,Rs.74.1727,
20-Mar-20,Equity,6718.11,11188.99,-4470.88,-595.65,Rs.75.0583,
23-Mar-20,Equity,9456.27,12770.23,-3313.96,-441.82,Rs.75.0063,
24-Mar-20,Equity,5767.26,8403.52,-2636.26,-347.42,Rs.75.8814,
26-Mar-20,Equity,16505.68,20269.9,-3764.22,-494.3,Rs.76.1522,
27-Mar-20,Equity,9479.77,9298.81,180.96,24.05,Rs.75.2392,
30-Mar-20,Equity,9616.29,8559.65,1056.64,141.18,Rs.74.8434,
31-Mar-20,Equity,6404.9,9776.01,-3371.11,-447.42,Rs.75.3451,
03-Apr-20,Equity,11647.1,15441.56,-3794.46,-503.34,Rs.75.3859,
07-Apr-20,Equity,7156.32,9379.18,-2222.86,-293.15,Rs.75.8276,
08-Apr-20,Equity,10359.44,9323.28,1036.16,136.62,Rs.75.8438,
09-Apr-20,Equity,9075.07,6982.1,2092.97,275.08,Rs.76.0867,
13-Apr-20,Equity,7376.32,5489.02,1887.3,246.84,Rs.76.4577,
15-Apr-20,Equity,4021.96,5082.07,-1060.11,-138.83,Rs.76.3617,
16-Apr-20,Equity,13726.79,12815.85,910.94,119.43,Rs.76.2743,
17-Apr-20,Equity,6856.45,9447.72,-2591.27,-337.67,Rs.76.7408,
20-Apr-20,Equity,7681.96,8644.77,-962.81,-125.78,Rs.76.5444,
21-Apr-20,Equity,5809.18,5710.1,99.08,12.93,Rs.76.6335,
22-Apr-20,Equity,4301.57,6132.76,-1831.19,-238.9,Rs.76.6516,
23-Apr-20,Equity,5851.2,6642.65,-791.45,-103.04,Rs.76.8084,
24-Apr-20,Equity,6570.24,6087.2,483.04,63.5,Rs.76.0635,
27-Apr-20,Equity,5722.78,5848.5,-125.72,-16.45,Rs.76.4173,
28-Apr-20,Equity,3983.52,4752.72,-769.2,-101.04,Rs.76.1269,
29-Apr-20,Equity,4958.72,4906.41,52.31,6.85,Rs.76.3710,
30-Apr-20,Equity,5587.52,4802.37,785.15,103.72,Rs.75.6961,
04-May-20,Equity,9655.67,6882.77,2772.9,369.15,Rs.75.1150,
05-May-20,Equity,5775.73,6709.1,-933.37,-123.15,Rs.75.7902,
06-May-20,Equity,4813.83,5131.52,-317.69,-42.04,Rs.75.5715,
08-May-20,Equity,26392.08,9269.34,17122.74,2262.19,Rs.75.6911,
11-May-20,Equity,5944.2,3761.56,2182.64,289.32,Rs.75.4411,
12-May-20,Equity,5440.63,4791.93,648.7,85.71,Rs.75.6838,
13-May-20,Equity,6157.26,7996.48,-1839.22,-242.66,Rs.75.7944,
14-May-20,Equity,6489.62,6358.57,131.05,17.38,Rs.75.3885,
15-May-20,Equity,4622.58,6953.91,-2331.33,-309.02,Rs.75.4440,
18-May-20,Equity,3866.3,6388.54,-2522.24,-333.79,Rs.75.5634,
19-May-20,Equity,4680.85,7203.37,-2522.52,-332.2,Rs.75.9345,
20-May-20,Equity,5081.4,6419.83,-1338.43,-176.89,Rs.75.6638,
21-May-20,Equity,4202.61,5886.47,-1683.86,-222.52,Rs.75.6712,
22-May-20,Equity,5981.04,6185.63,-204.59,-27.0,Rs.75.7785,
26-May-20,Equity,4422.19,5551.69,-1129.5,-149.04,Rs.75.7868,
27-May-20,Equity,11762.32,6980.24,4782.08,632.21,Rs.75.6404,
28-May-20,Equity,6152.98,6319.42,-166.44,-22.0,Rs.75.6476,
29-May-20,Equity,8835.62,6839.95,1995.67,263.45,Rs.75.7501,
01-Jun-20,Equity,25171.78,23967.09,1204.69,159.27,Rs.75.6369,
02-Jun-20,Equity,7982.4,6249.09,1733.31,229.64,Rs.75.4792,
03-Jun-20,Equity,12566.92,4676.45,7890.47,1043.89,Rs.75.5871,
04-Jun-20,Equity,10111.12,7943.59,2167.53,287.75,Rs.75.3260,
05-Jun-20,Equity,8380.57,5756.38,2624.19,347.44,Rs.75.5290,
08-Jun-20,Equity,4610.42,4544.42,66.0,8.75,Rs.75.4665,
09-Jun-20,Equity,6339.08,5286.73,1052.35,139.14,Rs.75.6307,
10-Jun-20,Equity,6464.86,5988.88,475.98,63.05,Rs.75.4931,
11-Jun-20,Equity,5028.45,5393.93,-365.48,-48.43,Rs.75.4688,
12-Jun-20,Equity,3781.44,4534.65,-753.21,-99.38,Rs.75.7907,
15-Jun-20,Equity,3681.7,4905.71,-1224.01,-161.11,Rs.75.9730,
16-Jun-20,Equity,2941.57,5880.96,-2939.39,-386.23,Rs.76.1056,
17-Jun-20,Equity,4615.19,6090.06,-1474.87,-194.47,Rs.75.8410,
18-Jun-20,Equity,5709.94,5714.46,-4.52,-0.59,Rs.76.2032,
19-Jun-20,Equity,5105.72,4549.11,556.61,73.09,Rs.76.1509,
22-Jun-20,Equity,14544.56,13290.37,1254.19,164.56,Rs.76.2144,
23-Jun-20,Equity,5704.77,5108.47,596.3,78.4,Rs.76.0620,
24-Jun-20,Equity,5041.59,4912.04,129.55,17.1,Rs.75.7549,
25-Jun-20,Equity,6681.0,5791.03,889.97,117.55,Rs.75.7087,
26-Jun-20,Equity,6418.92,6906.27,-487.35,-64.43,Rs.75.6349,
29-Jun-20,Equity,4723.4,5706.64,-983.24,-130.27,Rs.75.4757,
30-Jun-20,Equity,5411.14,5512.32,-101.18,-13.39,Rs.75.5680,
01-Jul-20,Equity,4789.91,6743.86,-1953.95,-258.71,Rs.75.5270,
02-Jul-20,Equity,3669.49,5355.14,-1685.65,-223.02,Rs.75.5813,
03-Jul-20,Equity,4015.82,4341.78,-325.96,-43.19,Rs.75.4876,
06-Jul-20,Equity,3303.84,2681.28,622.56,83.25,Rs.74.7843,
07-Jul-20,Equity,4162.56,3681.32,481.24,64.44,Rs.74.6822,
08-Jul-20,Equity,4039.1,5703.92,-1664.82,-222.39,Rs.74.8609,
09-Jul-20,Equity,5355.74,6357.74,-1002.0,-133.55,Rs.75.0270,
10-Jul-20,Equity,7008.31,4281.86,2726.45,363.51,Rs.75.0031,
13-Jul-20,Equity,2528.42,3521.17,-992.75,-131.86,Rs.75.2865,
14-Jul-20,Equity,3630.51,3504.95,125.56,16.7,Rs.75.1567,
15-Jul-20,Equity,3567.15,5158.62,-1591.47,-211.09,Rs.75.3935,
16-Jul-20,Equity,4705.91,4740.54,-34.63,-4.6,Rs.75.3123,
17-Jul-20,Equity,4287.52,5477.05,-1189.53,-158.09,Rs.75.2420,
20-Jul-20,Equity,5366.79,4564.15,802.64,106.87,Rs.75.1015,
21-Jul-20,Equity,4950.01,3302.22,1647.79,219.8,Rs.74.9666,
22-Jul-20,Equity,7974.99,5941.18,2033.81,272.01,Rs.74.7678,
23-Jul-20,Equity,6899.35,5183.32,1716.03,229.77,Rs.74.6848,
24-Jul-20,Equity,5771.73,3670.88,2100.85,281.04,Rs.74.7548,
27-Jul-20,Equity,5646.2,5269.05,377.15,50.37,Rs.74.8672,
28-Jul-20,Equity,4195.04,4563.33,-368.29,-49.26,Rs.74.7620,
29-Jul-20,Equity,5801.27,5627.43,173.84,23.26,Rs.74.7458,
30-Jul-20,Equity,5651.36,5942.23,-290.87,-38.9,Rs.74.7667,
31-Jul-20,Equity,7546.43,6139.91,1406.52,187.93,Rs.74.8412,
03-Aug-20,Equity,4787.25,5732.31,-945.06,-126.39,Rs.74.7722,
04-Aug-20,Equity,13432.48,5902.94,7529.54,1004.23,Rs.74.9789,
05-Aug-20,Equity,5449.24,4564.02,885.22,117.89,Rs.75.0894,
06-Aug-20,Equity,5981.66,6030.79,-49.13,-6.56,Rs.74.9086,
07-Aug-20,Equity,5424.42,4875.69,548.73,73.3,Rs.74.8591,
10-Aug-20,Equity,5648.11,5190.04,458.07,61.11,Rs.74.9556,
11-Aug-20,Equity,4812.06,4589.74,222.32,29.69,Rs.74.8780,
12-Aug-20,Equity,6309.02,5202.84,1106.18,147.8,Rs.74.8436,
13-Aug-20,Equity,4978.35,4573.85,404.5,54.06,Rs.74.8286,
14-Aug-20,Equity,4552.48,4055.36,497.12,66.42,Rs.74.8369,
17-Aug-20,Equity,4773.73,4961.46,-187.73,-25.11,Rs.74.7721,
18-Aug-20,Equity,3809.79,3474.3,335.49,44.82,Rs.74.8464,
19-Aug-20,Equity,5388.49,4341.91,1046.58,139.88,Rs.74.8190,
20-Aug-20,Equity,5000.43,4447.14,553.29,74.01,Rs.74.7608,
21-Aug-20,Equity,4686.59,4965.81,-279.22,-37.23,Rs.75.0062,
24-Aug-20,Equity,3892.86,3471.14,421.72,56.32,Rs.74.8755,
25-Aug-20,Equity,4537.81,4247.05,290.76,38.86,Rs.74.8282,
26-Aug-20,Equity,5740.12,3965.89,1774.23,238.49,Rs.74.3952,
27-Aug-20,Equity,6834.58,5158.88,1675.7,225.37,Rs.74.3541,
28-Aug-20,Equity,7181.32,5761.67,1419.65,191.0,Rs.74.3263,
31-Aug-20,Equity,7146.42,6669.73,476.69,64.99,Rs.73.3528,
01-Sep-20,Equity,17679.28,20035.22,-2355.94,-320.12,Rs.73.5951,
02-Sep-20,Equity,7524.72,6950.63,574.09,78.84,Rs.72.8204,
03-Sep-20,Equity,7012.18,5670.19,1341.99,183.8,Rs.73.0126,
04-Sep-20,Equity,5062.25,4975.95,86.3,11.76,Rs.73.3560,
07-Sep-20,Equity,3796.27,6590.29,-2794.02,-380.98,Rs.73.3380,
08-Sep-20,Equity,3743.11,3572.31,170.8,23.31,Rs.73.2831,
09-Sep-20,Equity,4598.67,4671.67,-73.0,-9.94,Rs.73.4272,
10-Sep-20,Equity,5091.51,6045.85,-954.34,-129.54,Rs.73.6728,
11-Sep-20,Equity,5881.54,4976.04,905.5,123.44,Rs.73.3541,
14-Sep-20,Equity,5417.7,4304.6,1113.1,151.5,Rs.73.4737,
15-Sep-20,Equity,6147.25,5788.0,359.25,48.96,Rs.73.3830,
16-Sep-20,Equity,5475.6,4302.43,1173.17,159.8,Rs.73.4169,
17-Sep-20,Equity,4850.27,4546.47,303.8,41.2,Rs.73.7451,
18-Sep-20,Equity,4436.39,4645.97,-209.58,-28.44,Rs.73.7021,
21-Sep-20,Equity,19598.84,17776.0,1822.84,248.69,Rs.73.2970,
22-Sep-20,Equity,5460.45,5743.8,-283.35,-38.65,Rs.73.3164,
23-Sep-20,Equity,3861.55,5873.72,-2012.17,-273.78,Rs.73.4951,
24-Sep-20,Equity,4227.32,8121.53,-3894.21,-528.91,Rs.73.6273,
25-Sep-20,Equity,7132.59,8394.0,-1261.41,-170.63,Rs.73.9246,
28-Sep-20,Equity,4555.98,6833.91,-2277.93,-308.96,Rs.73.7297,
29-Sep-20,Equity,5637.84,5109.71,528.13,71.78,Rs.73.5733,
30-Sep-20,Equity,4345.15,5722.3,-1377.15,-186.47,Rs.73.8521,
01-Oct-20,Equity,5764.16,6417.75,-653.59,-88.56,Rs.73.7978,
05-Oct-20,Equity,4726.21,2876.32,1849.89,252.09,Rs.73.3834,
06-Oct-20,Equity,5651.74,5318.04,333.7,45.55,Rs.73.2640,
07-Oct-20,Equity,6003.04,4931.46,1071.58,146.06,Rs.73.3684,
08-Oct-20,Equity,6118.38,5086.05,1032.33,140.72,Rs.73.3603,
09-Oct-20,Equity,6580.61,5544.53,1036.08,141.36,Rs.73.2943,
12-Oct-20,Equity,4110.61,5866.02,-1755.41,-239.78,Rs.73.2103,
13-Oct-20,Equity,6873.49,5255.48,1618.01,221.24,Rs.73.1351,
14-Oct-20,Equity,6743.1,4883.52,1859.58,253.42,Rs.73.3790,
15-Oct-20,Equity,7131.8,5983.04,1148.76,156.39,Rs.73.4558,
16-Oct-20,Equity,6911.8,7204.27,-292.47,-39.92,Rs.73.2677,
19-Oct-20,Equity,4656.28,4923.41,-267.13,-36.4,Rs.73.3830,
20-Oct-20,Equity,6055.04,4354.94,1700.1,231.56,Rs.73.4189,
21-Oct-20,Equity,6521.67,4688.31,1833.36,250.0,Rs.73.3337,
22-Oct-20,Equity,8462.17,6350.51,2111.66,287.48,Rs.73.4546,
23-Oct-20,Equity,8249.06,7024.23,1224.83,166.29,Rs.73.6557,
26-Oct-20,Equity,6081.66,5011.18,1070.48,145.49,Rs.73.5780,
27-Oct-20,Equity,5348.59,5236.94,111.65,15.14,Rs.73.7331,
28-Oct-20,Equity,10966.41,7375.88,3590.53,486.86,Rs.73.7487,
29-Oct-20,Equity,7572.38,8493.38,-921.0,-124.85,Rs.73.7650,
02-Nov-20,Equity,12396.38,13807.49,-1411.11,-190.76,Rs.73.9732,
03-Nov-20,Equity,7098.63,6227.09,871.54,117.27,Rs.74.3220,
04-Nov-20,Equity,8744.47,7198.53,1545.94,207.99,Rs.74.3260,
05-Nov-20,Equity,6194.77,6026.13,168.64,22.58,Rs.74.6915,
06-Nov-20,Equity,10045.2,4643.12,5402.08,727.38,Rs.74.2677,
09-Nov-20,Equity,9472.5,4588.2,4884.3,659.56,Rs.74.0535,
10-Nov-20,Equity,9078.24,4651.72,4426.52,598.78,Rs.73.9258,
11-Nov-20,Equity,9893.86,8470.07,1423.79,191.86,Rs.74.2116,
12-Nov-20,Equity,16852.25,8269.47,8582.78,1155.88,Rs.74.2529,
13-Nov-20,Equity,12178.92,8619.18,3559.74,478.14,Rs.74.4500,
17-Nov-20,Equity,9007.44,7539.8,1467.64,196.55,Rs.74.6713,
18-Nov-20,Equity,14999.8,9359.86,5639.94,756.95,Rs.74.5087,
19-Nov-20,Equity,10255.65,7019.39,3236.26,435.2,Rs.74.3629,
20-Nov-20,Equity,10736.5,9503.63,1232.87,166.03,Rs.74.2555,
23-Nov-20,Equity,11087.12,7182.72,3904.4,526.48,Rs.74.1598,
24-Nov-20,Equity,12333.29,7709.22,4624.07,623.69,Rs.74.1409,
25-Nov-20,Equity,12382.83,7844.89,4537.94,613.44,Rs.73.9752,
26-Nov-20,Equity,5388.11,6725.63,-1337.52,-180.8,Rs.73.9762,
27-Nov-20,Equity,8946.75,5942.09,3004.66,406.99,Rs.73.8262,
01-Dec-20,Equity,75713.89,66581.76,9132.13,1237.44,Rs.73.7983,
02-Dec-20,Equity,12171.31,8636.54,3534.77,480.87,Rs.73.5083,
