Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
31-Oct-07,Equity,4534.0,4837.3,-303.3,-77.0,Rs. 39.40,
01-Nov-07,Equity,5442.2,5214.2,228.0,58.0,Rs. 40.34,
02-Nov-07,Equity,5179.4,4998.8,180.6,45.9,Rs. 40.34,
05-Nov-07,Equity,3322.7,4084.1,-761.4,-193.4,Rs. 40.34,
06-Nov-07,Equity,4550.2,5207.1,-656.8,-167.1,Rs. 39.32,
07-Nov-07,Equity,4092.3,4087.2,5.1,1.3,Rs. 39.29,
08-Nov-07,Equity,4156.9,4119.2,37.7,9.6,Rs. 39.27,
12-Nov-07,Equity,4366.1,4653.0,-286.9,-72.9,Rs. 39.34,
13-Nov-07,Equity,4550.0,5370.0,-820.0,-208.5,Rs. 39.33,
14-Nov-07,Equity,5186.8,5064.6,122.2,31.0,Rs. 39.39,
15-Nov-07,Equity,5112.6,4160.6,952.0,242.0,Rs. 39.33,
16-Nov-07,Equity,4464.3,3675.9,788.4,200.7,Rs. 39.28,
19-Nov-07,Equity,3508.9,3588.0,-79.0,-20.1,Rs. 39.35,
20-Nov-07,Equity,3859.7,3886.5,-26.8,-6.8,Rs. 39.29,
21-Nov-07,Equity,4816.7,5888.8,-1072.1,-272.5,Rs. 39.34,
22-Nov-07,Equity,3246.6,5469.0,-2222.4,-564.2,Rs. 39.39,
23-Nov-07,Equity,3328.7,4172.5,-843.9,-214.1,Rs. 39.41,
26-Nov-07,Equity,2756.3,2929.7,-173.4,-43.8,Rs. 39.57,
27-Nov-07,Equity,3325.5,2855.3,470.2,118.5,Rs. 39.68,
28-Nov-07,Equity,3467.0,3730.6,-263.7,-66.2,Rs. 39.85,
29-Nov-07,Equity,3268.5,3718.5,-450.0,-113.4,Rs. 39.68,
30-Nov-07,Equity,5311.4,6289.0,-977.6,-245.8,Rs. 39.77,
03-Dec-07,Equity,7639.4,6159.0,1480.4,373.2,Rs. 39.67,
04-Dec-07,Equity,5566.0,5451.6,114.4,28.9,Rs. 39.56,
05-Dec-07,Equity,3974.1,3954.6,19.5,5.0,Rs. 39.43,
06-Dec-07,Equity,5515.5,4434.2,1081.3,274.1,Rs. 39.45,
07-Dec-07,Equity,4943.1,4120.8,822.4,208.4,Rs. 39.47,
10-Dec-07,Equity,4752.3,4747.1,5.2,1.3,Rs. 39.41,
11-Dec-07,Equity,3128.6,2827.9,300.6,76.3,Rs. 39.38,
12-Dec-07,Equity,4178.2,3488.3,689.9,175.3,Rs. 39.36,
13-Dec-07,Equity,3281.3,3221.4,59.8,15.2,Rs. 39.36,
14-Dec-07,Equity,6909.5,5827.4,1082.1,274.9,Rs. 39.37,
17-Dec-07,Equity,4732.6,4325.1,407.5,103.5,Rs. 39.35,
18-Dec-07,Equity,4117.7,5216.4,-1098.7,-279.1,Rs. 39.37,
19-Dec-07,Equity,3446.5,5896.3,-2449.8,-619.1,Rs. 39.57,
20-Dec-07,Equity,2585.0,3677.5,-1092.5,-276.2,Rs. 39.55,
24-Dec-07,Equity,2561.2,3077.0,-515.8,-130.4,Rs. 39.57,
26-Dec-07,Equity,3498.5,3331.1,167.4,42.4,Rs. 39.49,
27-Dec-07,Equity,4727.3,2306.8,2420.5,614.5,Rs. 39.39,
28-Dec-07,Equity,6774.3,5830.3,944.0,239.4,Rs. 39.43,
31-Dec-07,Equity,3255.2,2114.3,1140.9,289.3,Rs. 39.44,
01-Jan-08,Equity,3041.1,2243.3,797.9,202.4,Rs. 39.41,
02-Jan-08,Equity,1437.6,1295.3,142.3,36.1,Rs. 39.42,
03-Jan-08,Equity,4083.8,4328.3,-244.5,-62.0,Rs. 39.43,
04-Jan-08,Equity,6007.1,5281.9,725.1,183.8,Rs. 39.45,
07-Jan-08,Equity,4549.4,4040.6,508.8,129.4,Rs. 39.32,
08-Jan-08,Equity,4891.4,4972.3,-80.9,-20.6,Rs. 39.28,
09-Jan-08,Equity,5529.9,4476.5,1053.4,268.2,Rs. 39.27,
10-Jan-08,Equity,4859.7,4585.1,274.6,69.9,Rs. 39.29,
11-Jan-08,Equity,4334.2,4965.0,-630.8,-160.5,Rs. 39.29,
14-Jan-08,Equity,3906.3,3792.6,113.7,28.9,Rs. 39.29,
15-Jan-08,Equity,4521.5,4347.2,174.3,44.4,Rs. 39.29,
